bedroom number,kitchen number,living number,bathroom number,dining number,other number,other area
3,1,1,1,1,2,6.9
4,1,3,1,0,5,10.5
2,1,1,1,1,5,28.2
4,1,2,1,0,2,4.2
3,1,0,2,1,4,39.7
2,1,1,1,1,3,9.7
3,1,1,1,1,4,19.9
3,1,1,1,1,2,9.4
3,1,1,1,1,4,10.7
3,1,1,1,1,2,0.0
3,1,1,1,1,4,33.9
3,1,1,1,1,4,19.5
3,1,1,1,1,4,19.5
1,1,0,0,1,3,18.3
2,1,0,1,0,2,29.8
2,1,1,1,1,1,0.0
2,1,1,1,1,0,0.0
3,1,1,1,0,2,15.5
1,1,1,1,0,0,0.0
4,1,1,1,1,2,6.6
2,1,0,1,1,0,0.0
2,1,1,1,0,2,0.0
4,1,4,1,0,4,159.39999999999998
4,1,1,1,1,1,3.8
4,1,2,1,1,1,0.0
1,1,1,1,0,1,5.0
1,1,1,1,1,1,1.3
2,1,1,1,0,3,0.0
2,1,1,1,0,3,9.8
3,2,0,1,2,4,0.0
5,1,0,2,1,7,37.5
3,2,0,1,2,4,0.0
5,1,1,1,1,10,0.0
3,1,0,1,1,5,14.6
2,1,1,1,1,0,0.0
2,1,1,1,1,0,0.0
5,1,1,2,1,7,159.1
2,1,1,0,1,2,3.8
3,1,0,1,1,4,20.6
4,1,0,1,1,3,35.7
3,1,0,1,0,6,29.700000000000003
2,1,1,2,1,2,0.0
3,1,0,1,1,5,12.2
3,1,0,2,1,3,0.0
3,1,0,1,1,4,0.0
3,1,0,0,1,4,12.3
3,1,0,1,0,6,42.8
3,1,0,1,1,8,1038.3
4,1,1,2,1,6,0.0
2,1,0,1,1,2,0.0
3,1,1,1,2,6,18.700000000000003
5,1,1,2,1,7,16.5
4,1,1,2,1,8,46.2
4,1,0,2,1,8,40.1
2,1,1,1,0,2,0.0
1,1,0,1,0,4,0.0
3,1,0,1,1,2,1687.5
2,1,0,1,1,5,19.4
5,1,1,2,1,12,96.4
1,1,1,1,0,3,0.0
4,1,0,0,2,9,45.9
3,1,0,1,1,7,42.8
3,1,0,1,0,3,18.1
2,1,0,2,1,2,0.0
2,1,0,0,1,9,95.10000000000001
4,1,0,1,0,7,354.3
3,1,0,1,1,6,20.1
2,1,0,1,1,4,13.7
2,1,0,1,1,4,20.8
3,1,0,1,1,7,17.8
3,1,2,1,0,5,7.0
4,1,0,1,1,7,35.5
2,1,1,1,0,3,0.0
3,1,1,1,1,4,0.0
3,1,1,1,1,4,6.2
2,1,1,1,1,4,0.0
3,1,1,1,1,6,0.0
2,1,0,1,0,4,14.8
4,1,1,1,1,5,28.5
3,1,0,1,1,7,51.0
4,1,1,1,1,4,0.0
2,1,1,1,0,2,0.0
2,1,1,1,0,2,0.0
3,1,1,1,1,8,11.1
2,1,1,1,0,3,0.0
2,1,1,1,1,5,0.0
2,1,1,1,0,3,0.0
4,1,1,3,1,5,21.8
2,2,1,1,0,2,0.0
2,1,1,0,0,7,8.0
1,1,1,1,0,2,0.0
1,1,1,1,1,2,0.0
4,1,1,2,1,8,33.2
3,1,1,1,1,8,23.799999999999997
2,1,0,2,1,5,0.0
2,2,0,1,1,2,0.0
4,1,0,0,1,6,128.7
3,1,0,2,0,3,16.4
2,1,1,1,0,1,0.0
3,1,0,1,1,3,17.5
3,1,2,1,1,7,13.4
3,1,1,2,1,5,12.6
4,1,2,2,1,11,83.0
4,1,1,1,1,11,46.7
4,1,1,1,1,14,101.9
3,1,1,1,1,5,41.5
2,1,0,1,1,4,79.89999999999999
3,1,1,1,1,6,24.0
4,1,1,1,1,10,108.5
3,1,1,1,1,6,144.39999999999998
4,1,1,1,1,8,120.0
2,1,0,1,1,6,255.3
3,1,0,1,0,4,34.9
3,1,0,1,1,6,17.3
3,1,0,1,0,6,23.0
3,1,0,1,1,6,6.1
4,1,0,2,1,6,36.9
3,1,0,1,1,7,38.0
3,1,0,1,1,6,18.6
3,1,0,1,1,6,25.1
3,1,0,2,1,10,0.0
3,1,0,1,1,6,45.9
2,1,0,2,0,6,28.9
3,1,0,2,1,7,42.7
3,1,0,1,1,6,25.9
3,1,0,1,1,4,7.8
2,1,0,1,1,6,24.799999999999997
3,1,0,2,0,9,39.599999999999994
4,1,0,2,2,6,34.5
2,1,0,1,1,7,20.8
3,1,0,1,1,5,26.5
4,1,1,2,1,6,37.7
3,1,0,0,1,6,3.4
3,1,1,1,1,11,73.9
4,1,0,2,1,6,36.900000000000006
2,1,0,1,0,6,31.0
3,1,0,2,1,5,29.5
3,1,0,2,1,4,9.8
3,1,0,2,1,6,20.9
